read12394 39089 0.001637959716428224 0.0 0.0 0.0 0.0 read12003
read4270 39015 0.013881405075308547 0.016 0.0 0.01 0.01 read3299
read15430 39015 0.026419740419637818 0.072 0.0 0.02 0.0 read5373
read13551 39015 0.015827817967266945 0.056 0.01 0.03 0.0 read5278
read10756 39015 0.01064211714021951 0.036 0.0 0.01 0.0 read4917
read4571 38727 0.022034425549564494 0.046 0.002 0.02 0.01 read8569
read4983 38727 0.017934670250155056 0.0 0.022 0.0 0.02 read16717
read8655 38624 0.021450989546857573 0.054 0.042 0.01 0.07 read5583
read6585 38624 0.013677653776278225 0.0 0.012 0.0 0.03 read7346
read13378 38624 0.01748432886079884 0.044 0.0 0.01 0.0 read2258
read4705 38401 0.023397921345380476 0.0 0.046 0.0 0.04 read8569
read16167 38401 0.03174686466915044 0.01 0.05 0.13 0.01 read12399
read4240 38401 0.021572612161950916 0.006 0.016 0.01 0.02 read9796
read9719 38401 0.02597572118522386 0.01 0.044 0.04 0.02 read4541
read3670 38401 0.019803012142373233 0.018 0.0 0.02 0.0 read1751
read8862 38283 0.01909395270977192 0.094 0.028 0.16 0.13 read41
read6104 38283 0.02035743255619227 0.002 0.01 0.0 0.03 read7346
read10123 38282 0.021682771623851047 0.0 0.0 0.02 0.01 read5583
read3806 38282 0.02257664175754535 0.014 0.018 0.09 0.0 read4071
read11055 38282 0.029975830180748213 0.126 0.008 0.05 0.0 read9828
read16513 38282 0.01980822277682911 0.02 0.032 0.04 0.05 read12523
read1569 38282 0.020418834479332792 0.0 0.036 0.0 0.0 read12404
read3459 38241 0.016091893871997488 0.052 0.0 0.01 0.0 read16799
read9441 38241 0.02394723756183098 0.03 0.024 0.0 0.09 read17334
read3649 38241 0.016754365297520876 0.0 0.012 0.0 0.01 read10183
read1683 38241 0.004133312405169257 0.0 0.0 0.0 0.0 read9828
read9797 38241 0.015669962852508764 0.01 0.016 0.0 0.01 read12394
read16609 37979 0.019056693663649357 0.0 0.012 0.0 0.06 read8493
read11282 37979 0.02176720162331673 0.03 0.0 0.0 0.0 read12974
